PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Russell Westbrook,LAL,Postup,Offensive,0.784,52,0.045,1.109,0.525,0.13,0.043,0.13,0.043,0.54,0.525,0.9,1.0,0.4,0.8,0.4
Saddiq Bey,DET,Postup,Offensive,0.778,52,0.052,1.103,0.455,0.179,0.0,0.154,0.026,0.54,0.455,0.8,0.8,0.3,0.6,0.3
Tobias Harris,PHI,Postup,Offensive,0.772,74,0.109,1.102,0.558,0.093,0.065,0.074,0.037,0.55,0.558,1.5,1.6,0.7,1.3,0.6
Mason Plumlee,CHA,Postup,Offensive,0.743,56,0.101,1.083,0.59,0.3,0.1,0.25,0.05,0.58,0.59,1.1,1.2,0.4,0.7,0.3
Paul George,LAC,Postup,Offensive,0.737,56,0.048,1.079,0.556,0.079,0.079,0.063,0.016,0.54,0.556,1.1,1.2,0.5,1.0,0.4
Khris Middleton,MIL,Postup,Offensive,0.725,33,0.079,1.073,0.515,0.122,0.073,0.122,0.0,0.54,0.515,1.2,1.3,0.5,1.0,0.5
Jaren Jackson Jr.,MEM,Postup,Offensive,0.713,63,0.16,1.065,0.577,0.118,0.135,0.118,0.018,0.54,0.577,2.7,2.9,1.2,2.1,0.9
Rudy Gobert,MIN,Postup,Offensive,0.707,70,0.099,1.062,0.658,0.395,0.185,0.296,0.049,0.6,0.658,1.2,1.2,0.4,0.5,0.2
Zach Collins,SAS,Postup,Offensive,0.701,63,0.209,1.058,0.526,0.187,0.116,0.148,0.039,0.54,0.526,2.5,2.6,1.0,1.8,0.9
Brook Lopez,MIL,Postup,Offensive,0.695,78,0.13,1.057,0.551,0.157,0.129,0.143,0.057,0.52,0.551,1.8,1.9,0.8,1.4,0.6
Nikola Vucevic,CHI,Postup,Offensive,0.683,82,0.208,1.053,0.552,0.1,0.096,0.071,0.021,0.53,0.552,3.4,3.6,1.6,2.8,1.3
Anthony Davis,LAL,Postup,Offensive,0.671,56,0.17,1.041,0.479,0.206,0.064,0.188,0.05,0.52,0.479,3.9,4.1,1.4,3.0,1.6
Thomas Bryant,LAL,Postup,Offensive,0.665,41,0.072,1.037,0.5,0.259,0.074,0.259,0.074,0.56,0.5,0.7,0.7,0.2,0.5,0.2
Christian Wood,DAL,Postup,Offensive,0.659,67,0.111,1.036,0.6,0.17,0.179,0.143,0.018,0.55,0.6,1.7,1.7,0.7,1.1,0.4
Andrew Wiggins,GSW,Postup,Offensive,0.653,37,0.071,1.023,0.513,0.093,0.023,0.093,0.023,0.53,0.513,1.2,1.2,0.5,1.1,0.5
Pascal Siakam,TOR,Postup,Offensive,0.647,71,0.103,1.023,0.511,0.172,0.08,0.161,0.017,0.53,0.511,2.5,2.5,1.0,1.9,0.9
Brandon Ingram,NOP,Postup,Offensive,0.641,45,0.055,1.016,0.48,0.148,0.066,0.148,0.033,0.49,0.48,1.4,1.4,0.5,1.1,0.6
Kawhi Leonard,LAC,Postup,Offensive,0.635,52,0.087,1.011,0.479,0.16,0.074,0.149,0.011,0.52,0.479,1.8,1.8,0.7,1.4,0.7
Alperen Sengun,HOU,Postup,Offensive,0.629,75,0.2,1.004,0.558,0.143,0.139,0.112,0.022,0.52,0.558,3.0,3.0,1.2,2.2,1.0
Daniel Gafford,WAS,Postup,Offensive,0.611,78,0.068,1.0,0.467,0.237,0.105,0.211,0.132,0.47,0.467,0.5,0.5,0.2,0.4,0.2
De'Andre Hunter,ATL,Postup,Offensive,0.611,67,0.043,1.0,0.467,0.256,0.07,0.256,0.023,0.56,0.467,0.6,0.6,0.2,0.4,0.2
Zion Williamson,NOP,Postup,Offensive,0.587,29,0.164,0.991,0.533,0.234,0.162,0.198,0.072,0.51,0.533,3.8,3.8,1.4,2.6,1.2
Bobby Portis,MIL,Postup,Offensive,0.581,70,0.192,0.989,0.513,0.088,0.083,0.072,0.022,0.5,0.513,2.6,2.6,1.1,2.2,1.1
Aaron Gordon,DEN,Postup,Offensive,0.575,68,0.146,0.986,0.51,0.26,0.103,0.219,0.062,0.52,0.51,2.1,2.1,0.8,1.5,0.7
Jrue Holiday,MIL,Postup,Offensive,0.563,67,0.047,0.984,0.49,0.115,0.115,0.115,0.033,0.48,0.49,0.9,0.9,0.4,0.7,0.4
Jonas Valanciunas,NOP,Postup,Offensive,0.569,79,0.285,0.984,0.543,0.176,0.19,0.16,0.046,0.5,0.543,3.9,3.8,1.4,2.6,1.2
John Collins,ATL,Postup,Offensive,0.557,71,0.172,0.973,0.512,0.088,0.101,0.088,0.02,0.49,0.512,2.1,2.0,0.9,1.7,0.8
Jalen Brunson,NYK,Postup,Offensive,0.551,68,0.041,0.968,0.481,0.081,0.065,0.081,0.016,0.48,0.481,0.9,0.9,0.4,0.8,0.4
Andre Drummond,CHI,Postup,Offensive,0.539,67,0.074,0.967,0.632,0.267,0.167,0.267,0.067,0.53,0.632,0.4,0.4,0.2,0.3,0.1
Giannis Antetokounmpo,MIL,Postup,Offensive,0.545,63,0.114,0.967,0.545,0.188,0.164,0.155,0.038,0.5,0.545,3.4,3.3,1.3,2.3,1.0
Paolo Banchero,ORL,Postup,Offensive,0.527,72,0.071,0.964,0.513,0.164,0.127,0.155,0.018,0.5,0.513,1.5,1.5,0.6,1.1,0.5
Deandre Ayton,PHX,Postup,Offensive,0.533,67,0.231,0.964,0.514,0.067,0.103,0.059,0.008,0.49,0.514,3.8,3.6,1.6,3.2,1.5
Bam Adebayo,MIA,Postup,Offensive,0.515,75,0.121,0.955,0.522,0.101,0.145,0.101,0.006,0.49,0.522,2.4,2.3,0.9,1.8,0.9
Jerami Grant,POR,Postup,Offensive,0.509,63,0.092,0.954,0.5,0.167,0.148,0.148,0.037,0.48,0.5,1.7,1.6,0.6,1.2,0.6
Karl-Anthony Towns,MIN,Postup,Offensive,0.503,29,0.111,0.953,0.488,0.188,0.172,0.125,0.0,0.5,0.488,2.2,2.1,0.7,1.4,0.7
