PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Precious Achiuwa,TOR,Cut,Offensive,0.395,55,0.142,1.247,0.667,0.096,0.082,0.096,0.041,0.616,0.667,1.3,1.7,0.8,1.1,0.4
RJ Barrett,NYK,Cut,Offensive,0.387,73,0.046,1.243,0.619,0.086,0.043,0.086,0.029,0.614,0.619,1.0,1.2,0.5,0.9,0.3
Jayson Tatum,BOS,Cut,Offensive,0.378,74,0.05,1.238,0.64,0.089,0.089,0.089,0.03,0.604,0.64,1.4,1.7,0.7,1.2,0.4
Jarred Vanderbilt,UTA,Cut,Offensive,0.376,52,0.289,1.236,0.635,0.146,0.049,0.138,0.041,0.618,0.635,2.4,2.9,1.3,2.0,0.7
Jusuf Nurkic,POR,Cut,Offensive,0.368,52,0.121,1.235,0.651,0.224,0.082,0.235,0.059,0.624,0.651,1.6,2.0,0.8,1.2,0.4
Christian Wood,DAL,Cut,Offensive,0.358,67,0.078,1.231,0.606,0.167,0.038,0.154,0.051,0.628,0.606,1.2,1.4,0.6,1.0,0.4
Jaylen Brown,BOS,Cut,Offensive,0.351,67,0.055,1.223,0.608,0.138,0.053,0.128,0.032,0.606,0.608,1.4,1.7,0.7,1.2,0.5
Jordan Poole,GSW,Cut,Offensive,0.343,82,0.04,1.221,0.604,0.162,0.088,0.162,0.029,0.603,0.604,0.8,1.0,0.4,0.6,0.3
Torrey Craig,PHX,Cut,Offensive,0.34,79,0.122,1.219,0.656,0.055,0.082,0.055,0.014,0.616,0.656,0.9,1.1,0.5,0.8,0.3
Wendell Carter Jr.,ORL,Cut,Offensive,0.331,57,0.12,1.216,0.685,0.144,0.124,0.134,0.021,0.629,0.685,1.7,2.1,0.9,1.3,0.4
Jakob Poeltl,TOR,Cut,Offensive,0.323,26,0.278,1.21,0.629,0.099,0.025,0.111,0.0,0.642,0.629,3.1,3.8,1.7,2.7,1.0
Bam Adebayo,MIA,Cut,Offensive,0.326,75,0.157,1.21,0.615,0.116,0.047,0.116,0.021,0.605,0.615,3.1,3.8,1.6,2.7,1.0
Mark Williams,CHA,Cut,Offensive,0.312,44,0.266,1.202,0.662,0.18,0.079,0.18,0.022,0.64,0.662,2.0,2.4,1.0,1.5,0.5
Jock Landale,PHX,Cut,Offensive,0.265,69,0.176,1.192,0.656,0.115,0.103,0.115,0.038,0.615,0.656,1.1,1.3,0.6,0.9,0.3
