PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
P.J. Washington,CHA,OffScreen,Offensive,0.363,73,0.04,0.913,0.386,0.022,0.043,0.022,0.022,0.37,0.466,0.6,0.6,0.2,0.6,0.4
Zach LaVine,CHI,OffScreen,Offensive,0.357,77,0.058,0.913,0.368,0.078,0.087,0.068,0.01,0.379,0.466,1.3,1.2,0.4,1.1,0.7
Kyle Kuzma,WAS,OffScreen,Offensive,0.352,64,0.039,0.911,0.386,0.125,0.125,0.107,0.036,0.393,0.477,0.9,0.8,0.3,0.7,0.4
Luka Doncic,DAL,OffScreen,Offensive,0.342,66,0.022,0.909,0.314,0.205,0.045,0.205,0.045,0.409,0.386,0.7,0.6,0.2,0.5,0.4
Kristaps Porzingis,WAS,OffScreen,Offensive,0.326,65,0.073,0.897,0.372,0.113,0.093,0.103,0.01,0.402,0.429,1.5,1.3,0.4,1.2,0.8
Kelly Oubre Jr.,CHA,OffScreen,Offensive,0.322,48,0.096,0.892,0.369,0.097,0.032,0.097,0.032,0.398,0.429,1.9,1.7,0.6,1.8,1.1
Terrence Ross,ORL,OffScreen,Offensive,0.317,42,0.134,0.891,0.349,0.065,0.043,0.065,0.043,0.348,0.442,1.1,1.0,0.4,1.0,0.7
Trey Murphy III,NOP,OffScreen,Offensive,0.308,79,0.075,0.884,0.288,0.13,0.043,0.087,0.029,0.348,0.398,0.9,0.8,0.2,0.7,0.5
CJ McCollum,NOP,OffScreen,Offensive,0.304,75,0.084,0.882,0.341,0.066,0.037,0.066,0.029,0.353,0.429,1.8,1.6,0.6,1.7,1.1
Jalen Green,HOU,OffScreen,Offensive,0.295,76,0.038,0.879,0.333,0.091,0.076,0.076,0.03,0.348,0.421,0.9,0.8,0.3,0.8,0.5
Max Strus,MIA,OffScreen,Offensive,0.291,80,0.124,0.874,0.317,0.027,0.036,0.027,0.0,0.324,0.438,1.4,1.2,0.4,1.3,0.9
